WEEK 1:,,,
Sunday October 22 2023,Las Vegas Raiders @ Chicago Bears,1:00 PM,Soldier Field Chicago IL
,Cleveland Browns @ Indianapolis Colts,1:00 PM,Lucas Oil Stadium Indianapolis IN
,Buffalo Bills @ New England Patriots,1:00 PM,Gillette Stadium Foxboro MA
,Washington Commanders @ New York Giants,1:00 PM,MetLife Stadium East Rutherford NJ
,Atlanta Falcons @ Tampa Bay Buccaneers,1:00 PM,Raymond James Stadium Tampa FL
,Detroit Lions @ Baltimore Ravens,1:00 PM,M&T Bank Stadium Baltimore MD
,Pittsburgh Steelers @ Los Angeles Rams,4:05 PM,SoFi Stadium Inglewood CA
,Arizona Cardinals @ Seattle Seahawks,4:05 PM,Lumen Field Seattle WA
,Green Bay Packers @ Denver Broncos,4:25 PM,Empower Field at Mile High Denver CO
,Los Angeles Chargers @ Kansas City Chiefs,4:25 PM,GEHA Field at Arrowhead Stadium Kansas City MO
,Miami Dolphins @ Philadelphia Eagles,8:20 PM,Lincoln Financial Field Philadelphia PA
Monday October 23 2023,San Francisco 49ers @ Minnesota Vikings,8:15 PM,U.S. Bank Stadium Minneapolis MN
WEEK 8:,,,
Thursday October 26 2023,Tampa Bay Buccaneers @ Buffalo Bills,8:15 PM,Highmark Stadium Orchard Park NY
Sunday October 29 2023,Los Angeles Rams @ Dallas Cowboys,1:00 PM,AT&T Stadium Arlington TX
,Minnesota Vikings @ Green Bay Packers,1:00 PM,Lambeau Field Green Bay WI
,Atlanta Falcons @ Tennessee Titans,1:00 PM,Nissan Stadium Nashville TN
,New Orleans Saints @ Indianapolis Colts,1:00 PM,Lucas Oil Stadium Indianapolis IN
,New England Patriots @ Miami Dolphins,1:00 PM,Hard Rock Stadium Miami Gardens FL
,New York Jets @ New York Giants,1:00 PM,MetLife Stadium East Rutherford NJ
,Jacksonville Jaguars @ Pittsburgh Steelers,1:00 PM,Acrisure Stadium Pittsburgh PA
,Philadelphia Eagles @ Washington Commanders,1:00 PM,FedExField Landover MD
,Houston Texans @ Carolina Panthers,1:00 PM,Bank of America Stadium Charlotte NC
,Cleveland Browns @ Seattle Seahawks,4:05 PM,Lumen Field Seattle WA
,Kansas City Chiefs @ Denver Broncos,4:25 PM,Empower Field at Mile High Denver CO
,Baltimore Ravens @ Arizona Cardinals,4:25 PM,State Farm Stadium Glendale AZ
,Cincinnati Bengals @ San Francisco 49ers,4:25 PM,Levi's Stadium Santa Clara CA
,Chicago Bears @ Los Angeles Chargers,8:20 PM,SoFi Stadium Inglewood CA
Monday October 30 2023,Las Vegas Raiders @ Detroit Lions,8:15 PM,Ford Field Detroit MI
WEEK 9:,,,
Thursday November 2 2023,Tennessee Titans @ Pittsburgh Steelers,8:15 PM,Acrisure Stadium Pittsburgh PA
Sunday November 5 2023,Miami Dolphins @ Kansas City Chiefs,9:30 AM,Frankfurt Stadium Frankfurt
,Minnesota Vikings @ Atlanta Falcons,1:00 PM,Mercedes-Benz Stadium Atlanta GA
,Arizona Cardinals @ Cleveland Browns,1:00 PM,Cleveland Browns Stadium Cleveland OH
,Los Angeles Rams @ Green Bay Packers,1:00 PM,Lambeau Field Green Bay WI
,Washington Commanders @ New England Patriots,1:00 PM,Gillette Stadium Foxboro MA
,Chicago Bears @ New Orleans Saints,1:00 PM,Caesars Superdome New Orleans LA
,Seattle Seahawks @ Baltimore Ravens,1:00 PM,M&T Bank Stadium Baltimore MD
,Tampa Bay Buccaneers @ Houston Texans,1:00 PM,NRG Stadium Houston TX
,Indianapolis Colts @ Carolina Panthers,4:05 PM,Bank of America Stadium Charlotte NC
,New York Giants @ Las Vegas Raiders,4:25 PM,Allegiant Stadium Las Vegas NV
,Dallas Cowboys @ Philadelphia Eagles,4:25 PM,Lincoln Financial Field Philadelphia PA
,Buffalo Bills @ Cincinnati Bengals,8:20 PM,Paycor Stadium Cincinnati OH
Monday November 6 2023,Los Angeles Chargers @ New York Jets,8:15 PM,MetLife Stadium East Rutherford NJ
WEEK 10:,,,
Thursday November 9 2023,Carolina Panthers @ Chicago Bears,8:15 PM,Soldier Field Chicago IL
Sunday November 12 2023,Indianapolis Colts @ New England Patriots,9:30 AM,Frankfurt Stadium Frankfurt
